Annotation	Cell Name	Value	Comment
WT codon	Alamut.wtCodon		
WT codon frequency	Alamut.wtCodonFreq		
Variant AA (1 letter)	Alamut.varAA_1		
Variant AA (3 letters)	Alamut.varAA_3		
Variant codon	Alamut.varCodon		
Variant codon frequency	Alamut.varCodonFreq		
AA Position	Alamut.posAA		
Missense only			
Number of orthologues in alignment	Alamut.nOrthos		
Number of conserved residues in alignment	Alamut.conservedOrthos		
Most distant species in which AA is conserved	Alamut.conservedDistSpecies		
BLOSUM45	Alamut.BLOSUM45		
BLOSUM62	Alamut.BLOSUM62		
BLOSUM80	Alamut.BLOSUM80		
WT AA composition	Alamut.wtAAcomposition		
Variant AA composition	Alamut.varAAcomposition		
WT AA polarity	Alamut.wtAApolarity		
Variant AA polarity	Alamut.varAApolarity		
WT AA volume	Alamut.wtAAvolume		
Variant AA volume	Alamut.varAAvolume		
Grantham distance	Alamut.granthamDist		
AlignGVGD class	Alamut.AGVGDclass		
AlignGVGD: variation(GV)	Alamut.AGVGDgv		
AlignGVGD: variation(GD)	Alamut.AGVGDgd		
SIFT prediction	Alamut.SIFTprediction		
SIFT weight	Alamut.SIFTweight		
SIFT median	Alamut.SIFTmedian		
PolyPhen-2 prediction	Alamut.PPH2prediction		"qualitative ternary classification at 10%/20% (20%/40% for HumVar) FPR thresholds (""benign"", ""possibly damaging"", ""probably damaging"")"
PolyPhen-2 class	Alamut.PPH2class		"probabilistic binary classifier outcome (""damaging"" or ""neutral"")"
PolyPhen-2 score	Alamut.PPH2score		classifier probability of the variation being damaging
MAPP prediction	Alamut.MAPPprediction		
MAPP p-value	Alamut.MAPPpValue		
MAPP p-value median	Alamut.MAPPpValueMedian		
MutationTaster prediction	Alamut.TASTERprediction		
MutationTaster p-value	Alamut.TASTERpValue		
